id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
648832207289419998,Private suite & yard at heart of vibrant Main St,464156647,Meghan,,Riley Park,49.25521,-123.09996,Entire home/apt,221,2,60,2024-04-15,2.68,1,9,32,24-158769
649087750077858826,3 storey Kits Townhouse 12 min walk to the beach,18224156,John,,Kitsilano,49.263854321980816,-123.14929234843049,Entire home/apt,,30,1,2023-10-19,0.15,1,0,1,
649397103386742873,Conveniently located 1bdr suite. Sleeps up to 5ppl,464298964,Frederick,,Dunbar Southlands,49.23705,-123.1881,Entire home/apt,104,30,7,2023-11-29,0.33,1,336,4,
649554000111587581,"Sub-penthouse, view condo in downtown w/ AC",21458071,Ali,,Downtown,49.27936,-123.12872,Entire home/apt,381,2,74,2024-04-11,3.33,1,36,37,23-157848
649918914706027057,Modern 1 b top floor penthouse with river views!,464411593,Harman,,Killarney,49.20538,-123.03916,Entire home/apt,107,30,9,2024-04-03,0.44,1,267,5,
649920624350966941,Kitsilano Fall getaway!,15060435,Jill,,Kitsilano,49.2669374,-123.1762327,Entire home/apt,205,30,1,2022-08-26,0.05,1,155,0,
650284505815567597,Prime Location Downtown | Sleeps 7 | Pool/Hot Tub,464497590,Bal,,Downtown,49.2789066,-123.1079972,Entire home/apt,441,3,52,2024-01-03,2.33,1,22,22,24-158744
650607262159929480,Downtown King Suite-Surround Views-Pool/Gym/Parkng,245819920,Lien,,Downtown Eastside,49.28013,-123.10564,Entire home/apt,296,2,125,2024-05-01,5.51,2,35,55,24-158689
650873833377196985,Sweet home by Point Grey with AC,447833515,Sharon,,West Point Grey,49.262,-123.19873,Entire home/apt,299,1,79,2024-04-16,3.53,2,49,41,24-158764
651769424907427488,City and ocean view beautiful 2 bedrooms condo,74533333,Ke,,West End,49.28443640293548,-123.12486867450436,Entire home/apt,310,30,0,,,3,364,0,
652107134102037633,Private 1-bedroom unit entire apartment,20932474,Adam,,Mount Pleasant,49.25954,-123.08281,Private room,88,3,70,2024-04-17,3.10,1,11,28,22-223683 & 23-158119
653111931586097955,Vancouver Downtown Yaletown Collection Condo,465101281,Michael,,Downtown,49.2745482,-123.127821,Entire home/apt,380,2,138,2024-04-15,6.47,1,162,74,24-158772
